16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
612.740364074707	699.514331817627	653.9443969726564	993.8570022583007	943.2695388793945	928.8741302490233	823.9885482788086	802.4700393676757	792.2060165405275	784.4717559814452	779.7834091186522	902.1232666015625	897.2836181640625
618.3270263671875	703.6056900024414	649.9367904663085	1004.3493804931641	951.1804962158202	937.5425949096679	829.4556884765625	809.5271301269532	798.824821472168	788.1503219604491	784.6719131469725	906.7857177734375	900.7373046875
620.3472137451172	704.5872688293457	647.6402282714843	1003.998161315918	942.3135452270508	928.2615280151368	821.7052459716797	812.0565948486328	798.2931518554688	786.2475357055664	787.3263931274413	906.2519775390626	900.1927978515625
617.001838684082	697.8141021728516	653.5582160949706	1001.9106674194336	940.3167343139647	925.2817153930665	819.3085784912108	813.1860122680664	800.0787048339844	789.685821533203	788.8110580444335	910.7228515625	904.3497802734374
617.0992469787597	706.7252159118652	654.2652702331543	1009.8775177001952	938.9582519531248	924.9816513061523	818.0314865112306	813.4485397338868	795.4096069335935	791.6715087890625	788.0665740966796	910.2651123046876	905.19658203125
620.0934600830078	700.8120155334473	650.5418586730957	998.149269104004	937.6631469726562	922.7706527709961	819.1151046752931	814.9779739379882	804.3332290649414	795.8774414062499	797.2562942504883	907.3180664062501	911.1642333984374
621.8581199645996	706.1578559875487	653.1563758850098	1008.8258743286132	937.1791305541991	922.5563278198241	815.498908996582	812.4515991210938	796.5454559326172	789.5122375488281	790.236099243164	911.76181640625	904.3121093750001
617.0484352111816	702.8982353210449	649.9483871459961	1000.5490036010742	937.4773178100586	924.0942306518554	817.9094238281251	816.3997421264648	803.1908340454102	796.0202178955077	790.9147567749023	902.1722412109376	907.8955810546875
619.4298362731934	706.1886405944824	652.0332717895508	1002.8979034423828	943.4521636962892	930.4340286254882	823.5460739135742	814.1767044067383	801.1239166259766	793.7681579589844	790.3072586059569	913.7274902343751	900.1582275390625
616.2503433227539	706.3348388671875	649.3243789672852	1009.278923034668	944.443016052246	930.4900131225586	822.2053298950194	809.3497467041014	804.6202239990233	789.2497787475585	784.2317962646483	901.8469238281251	898.3661621093751
609.9438095092775	701.812858581543	650.3953933715821	1006.0305175781251	944.0084838867188	929.2174530029297	822.4292678833008	813.6493606567383	798.5739898681641	789.8501358032225	785.7670211791992	909.500146484375	901.2774658203125
615.6136131286621	705.1211738586426	654.7170639038086	1010.0997619628905	940.8907928466797	926.9385223388672	820.5509719848632	811.1275863647461	796.5851211547849	790.7701721191406	790.6751174926758	909.9569824218752	903.6170654296876
615.6234550476074	699.5143318176271	648.6296272277832	1012.9196319580077	936.0827865600586	923.628273010254	817.0937118530275	816.0780487060547	799.8169555664062	790.8796005249025	789.3236846923828	911.2561279296875	902.670556640625
609.0557479858398	706.982250213623	652.4914169311525	1010.7505416870116	938.2145690917969	923.2023239135742	817.1106033325194	810.6916580200195	797.2354888916014	791.9438552856444	787.8205718994141	911.535986328125	901.7931640625001
614.8352241516113	709.1014480590821	654.4999122619628	1005.0100479125975	928.0184555053712	916.306137084961	808.4431915283203	809.782012939453	794.4666824340819	792.1898574829102	791.0412826538086	910.2004150390624	903.4963623046875
618.0375862121583	707.9943466186523	655.1911544799806	1011.3333892822264	941.591583251953	926.8432388305662	821.1846542358397	814.7430038452147	800.0434341430664	788.8825607299804	788.8262100219727	906.9662109375001	900.423681640625
618.5240364074707	704.9046134948729	658.8887405395508	1008.5477142333983	944.771759033203	929.7821044921876	822.5390853881835	814.85684967041	801.6980895996093	792.7760467529296	788.4557876586914	909.6662353515625	904.331103515625
620.6052207946777	697.0867347717285	650.6082725524902	997.30078125	941.7144699096679	927.1747283935547	820.4143295288086	811.2818069458008	808.9042282104491	792.4230880737305	790.0042419433593	906.8122314453126	903.61474609375
615.937671661377	703.2314491271972	651.2741279602051	1004.4984283447266	951.0040054321288	936.7838516235352	829.3474731445314	816.3888015747071	798.5555191040037	787.6923751831055	782.3533172607422	907.40419921875	896.2611572265624
617.4793815612793	706.441593170166	662.0121002197266	1004.1456527709961	942.1713638305663	929.4099655151366	819.7851333618163	813.1595993041992	801.279052734375	794.9404907226561	796.6244888305665	910.2075683593748	909.2822265625
