16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2455.7113647460938	2788.139416196965	4187.6563354014415	3330.4452590060937	5082.808343699925	5780.834995167545	10219.374434839336	14756.734472046448	19346.131282407983	24141.786694079525	27065.73696459754	26206.809362728913	29126.67322967012
2467.873507294931	2787.8353011656	4209.672507787096	3306.5592715356843	5012.783424097893	5699.119762644644	10060.773700116628	14841.447766564579	19645.963887887337	24393.875441865293	27530.392718780233	25853.144944603762	29581.61548032599
2472.567114220572	2797.8864481315727	4172.769261948691	3330.115111363951	5070.753003012469	5759.954703293019	10185.188144534915	14900.305122808899	19362.417017282987	23988.55003459879	27106.19928071778	25982.677891839292	29107.436550402905
2439.206276715573	2825.925804976094	4217.072697464453	3309.8637583858276	5056.604222201654	5748.303664297601	10156.875552987694	14767.078707101162	19584.91803644088	24050.35504714427	27414.064455922875	26375.957157300865	29453.573890776708
2444.374511591471	2816.0792569563514	4180.50195552915	3306.430042809178	5031.539017834883	5717.58977411886	10098.275247904246	14986.455199206888	19675.883926263377	24472.70346188295	27541.676585094894	26287.940447915815	29486.848057227144
2452.5950081275705	2798.4498705532988	4174.674829696562	3305.3353784285573	5067.042439274793	5757.658248557184	10179.864909738999	14929.086966027842	19533.898332993762	24208.70891671056	27347.798266653288	26170.270098303896	29351.223902673973
2453.795509375165	2777.205675223382	4184.842669932712	3322.100624050216	5021.659812235113	5707.529126746954	10080.526654536907	14868.7611380927	19710.3366577368	24248.237724418756	27606.406317097222	26171.794743103117	29620.697709167896
2477.5754356506777	2794.339271591976	4204.224191618668	3329.8732572067915	5064.812909666569	5756.362405877606	10179.276003434847	14853.534638317602	19473.33778326328	24295.446940423484	27235.71622954653	26231.588269563	29267.063787428
2466.0715548768735	2804.0853324967275	4196.655198883156	3318.177531195594	5034.25289825889	5719.237841445951	10106.273855154332	14921.571028135832	19579.34104402264	24270.05982291752	27401.199599006253	26178.52261642422	29389.01242755708
2446.2209647917844	2785.4962629250226	4220.97668236068	3313.162776839781	5045.756398465829	5733.382273372949	10135.792939958446	14904.171416520858	19644.634143726245	24333.49099220144	27509.184968491765	26148.484152059133	29549.55117122547
2465.657459806265	2772.240878414989	4189.339565200935	3316.842348128019	5029.9430883014775	5713.297072935241	10096.684671365298	14968.812277470832	19467.755669162198	24181.705337386946	27252.11873726448	25970.438283360647	29318.29020570556
2441.7146948214736	2807.0805688002656	4233.331945103782	3333.185020076704	5069.224155868576	5759.6268645978535	10185.745424615028	14952.211272850465	19723.045646965325	24452.81505941364	27633.48306349606	26398.361040817614	29684.73304916926
2458.1313286465056	2787.4973776444813	4230.475257776003	3322.530256068896	5030.142748060563	5714.35703360703	10104.578681489458	14828.517623027274	19487.860680771333	24165.261534041958	27288.298217617736	26303.326879127268	29343.858386457672
2480.7941860963138	2783.118170064511	4180.32759217399	3319.911534428137	5043.869814319437	5731.428049903975	10131.511929088232	14790.065875453278	19559.443924955267	24239.78137398908	27394.26085186489	26202.271955852124	29405.99993187255
2436.292062357836	2806.8365259116204	4211.370019556741	3303.758140093861	5060.454106057398	5750.186245094796	10166.251103680834	14898.910298876337	19750.599666750975	24318.556585711634	27683.759990491366	26040.12292869082	29740.65360925718
2462.9944632358943	2796.861979566774	4207.262178746665	3321.756560987626	5070.930977444756	5761.318989450835	10187.242320241821	14933.751995643874	19649.568545153274	24330.079108700043	27508.423692089014	25959.783984768776	29528.34283830353
2468.9106125112003	2812.0617694165335	4212.71259518684	3322.6125795148505	5057.464884206588	5747.068946829198	10161.382074539479	14809.255453785654	19629.25335308453	24277.358957431883	27507.038975329146	25923.56333475627	29511.752071931125
2471.713167337624	2812.6897700863733	4209.168341771796	3315.5162570850766	5048.455254017078	5737.626258680351	10137.932467338953	14869.640042344137	19529.26041837224	24163.46546415979	27340.280696231497	26312.88013443986	29350.040319212832
2462.1320004519134	2806.8254073058843	4211.885280005084	3314.436663309529	5038.384801013462	5727.561410651149	10121.147052661792	14806.840142937634	19552.05202102661	24408.6276968142	27387.978971965036	26126.705724438805	29410.05972101084
2445.1051576399045	2790.1365532238715	4204.015203718253	3335.3249927704883	5028.220830730207	5712.38443849677	10091.345421835726	14769.073864361188	19444.92333231035	24080.53256186783	27216.303550590903	25997.124773937103	29262.080459724257
