16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.33196	0.33174	0.20448	0.33194	0.20438	0.17728	0.08854	0.05908	0.04432	0.03554	0.03136	0.03556	0.03138
0.33184	0.33158	0.20448	0.3317	0.20448	0.1771	0.08872	0.05902	0.04436	0.0355	0.03142	0.03556	0.0314
0.33194	0.33178	0.20444	0.33188	0.20444	0.17708	0.08868	0.05906	0.04438	0.03556	0.03144	0.03556	0.03146
0.33186	0.3319	0.2044	0.33192	0.20444	0.17692	0.0886	0.05916	0.04434	0.03558	0.03144	0.03552	0.03148
0.33178	0.33174	0.20424	0.33168	0.20452	0.1772	0.08858	0.0591	0.0444	0.03552	0.03138	0.03558	0.03144
0.33202	0.33186	0.20452	0.332	0.20436	0.17724	0.0886	0.0591	0.04448	0.03554	0.0314	0.0356	0.0315
0.33176	0.33204	0.2042	0.33192	0.20416	0.17722	0.08856	0.05906	0.0443	0.0355	0.03138	0.03552	0.03146
0.33196	0.33166	0.2042	0.3318	0.20438	0.17698	0.08856	0.0591	0.04434	0.03558	0.03146	0.03548	0.03136
0.3319	0.3319	0.20444	0.33208	0.20442	0.1773	0.0886	0.0591	0.04434	0.03548	0.03136	0.03562	0.03138
0.33164	0.33182	0.2043	0.33204	0.20418	0.1771	0.08872	0.05922	0.04432	0.03554	0.03144	0.03556	0.03144
0.33174	0.3318	0.20424	0.3318	0.20446	0.17724	0.08872	0.059	0.04436	0.03552	0.03146	0.03552	0.03154
0.33192	0.33188	0.2042	0.3321	0.20454	0.17702	0.08846	0.05904	0.04434	0.03564	0.03144	0.03554	0.03136
0.33162	0.33176	0.2045	0.33194	0.20436	0.17734	0.08858	0.05906	0.04436	0.03562	0.03138	0.03558	0.03136
0.33182	0.33174	0.20418	0.33194	0.20434	0.17718	0.08864	0.059	0.04438	0.03546	0.0314	0.03556	0.03146
0.3319	0.33206	0.2042	0.33206	0.20432	0.17708	0.08864	0.0591	0.04442	0.03552	0.0314	0.03558	0.03136
0.33182	0.33172	0.20452	0.33186	0.20452	0.17724	0.08872	0.059	0.04436	0.03552	0.0314	0.03552	0.03148
0.332	0.33164	0.20444	0.33192	0.20428	0.17714	0.0886	0.05914	0.04428	0.03552	0.03152	0.03556	0.03138
0.3319	0.33208	0.20418	0.332	0.20442	0.17718	0.08864	0.0591	0.04428	0.03556	0.03142	0.03556	0.03138
0.33194	0.33174	0.20428	0.33176	0.20446	0.17708	0.08846	0.05902	0.0443	0.03554	0.0314	0.03556	0.03146
0.33198	0.33174	0.20442	0.33186	0.2042	0.17734	0.08866	0.05918	0.0443	0.03562	0.0314	0.03558	0.03134
