16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.21592	0.21614	0.17358	0.21648	0.13322	0.11536	0.05764	0.0502	0.03792	0.03552	0.03142	0.03548	0.03134
0.21616	0.21628	0.17348	0.21632	0.13314	0.11528	0.05774	0.0502	0.03774	0.0356	0.03142	0.0357	0.03142
0.21612	0.21594	0.17376	0.2161	0.13316	0.11528	0.05762	0.05018	0.0377	0.0355	0.0314	0.03556	0.03142
0.21608	0.21592	0.17346	0.21618	0.1332	0.11546	0.05772	0.05024	0.03768	0.0355	0.0314	0.03552	0.03142
0.21594	0.21628	0.1734	0.21648	0.1331	0.11542	0.05774	0.05022	0.03766	0.03558	0.03138	0.03552	0.0314
0.21604	0.21622	0.17356	0.21654	0.13312	0.11526	0.05758	0.0502	0.03764	0.03566	0.03142	0.03556	0.03142
0.21604	0.21592	0.17372	0.21636	0.13304	0.11532	0.05766	0.0503	0.03772	0.0355	0.03138	0.03562	0.0314
0.216	0.21596	0.17358	0.21644	0.13292	0.1152	0.05766	0.0503	0.03778	0.03554	0.03138	0.03548	0.03142
0.21604	0.21618	0.17366	0.21618	0.13326	0.11536	0.0578	0.0503	0.0377	0.03552	0.0314	0.03554	0.03144
0.21616	0.21602	0.17346	0.2161	0.13306	0.11546	0.05772	0.05014	0.03774	0.03558	0.03142	0.0356	0.0314
0.2159	0.2162	0.17392	0.2165	0.13326	0.11536	0.05782	0.0503	0.03774	0.03552	0.03136	0.03556	0.03142
0.21614	0.21608	0.17368	0.21622	0.1331	0.11542	0.05766	0.05032	0.0377	0.03548	0.03146	0.0356	0.03134
0.216	0.21604	0.17364	0.21632	0.13306	0.11544	0.05764	0.05018	0.0377	0.03556	0.03136	0.03558	0.03142
0.21608	0.2161	0.17362	0.21644	0.13332	0.1154	0.05764	0.05024	0.0377	0.03552	0.03138	0.03552	0.03138
0.21588	0.21616	0.17356	0.21634	0.133	0.1154	0.05776	0.05032	0.03768	0.0355	0.03142	0.03554	0.03144
0.21618	0.21598	0.17362	0.2162	0.13314	0.11544	0.05768	0.0502	0.0378	0.03556	0.0314	0.03548	0.0315
0.21616	0.21628	0.17362	0.21642	0.13322	0.1153	0.0577	0.05026	0.0378	0.03554	0.0314	0.03546	0.03136
0.21606	0.21606	0.17346	0.21632	0.13322	0.11526	0.05768	0.05016	0.03772	0.03552	0.03142	0.03556	0.03146
0.21592	0.21612	0.17372	0.21638	0.13328	0.11524	0.05768	0.0502	0.03766	0.03554	0.03136	0.03558	0.03136
0.21602	0.2161	0.1738	0.21632	0.13298	0.1155	0.05766	0.0502	0.03772	0.03558	0.03132	0.03552	0.03144
