16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
2600.0310190512814	2946.262280183057	4478.902601657954	3490.3006947076988	5379.543671351422	6128.026493130038	10902.680857485262	15965.003452588067	20917.501238828205	25760.223579571306	29287.310452920006	27770.769575581904	31430.4456114769
2632.824428301588	2960.6746322941162	4435.45460504067	3526.0189913909376	5415.148547405451	6120.923984067284	10935.607379163072	15773.48451624283	20914.57701982469	26156.784545160535	29237.353627274675	28101.18710614156	31440.498768469977
2629.7232081650895	2980.1404832722865	4412.796790089488	3512.6073731326255	5401.25694246242	6138.601976146271	10969.207967439956	15838.331055257626	20937.387455892826	26045.059520073035	29266.69981421494	28198.851913702292	31468.156023723324
2594.0698276625985	2967.87761296529	4469.31411183461	3541.6539639518583	5409.930632995056	6150.866059530491	10989.319119474872	15873.128042730817	20951.70274799086	26229.44956312122	29287.430547898817	28265.61487574738	31473.76836041996
2619.693813671857	2971.1865818525885	4477.654794105014	3554.1233105486835	5382.988789616214	6152.623826829707	10996.050240471313	15842.381733123082	20897.281615071275	26259.264316509467	29405.306564939034	28279.82775205995	31610.99602633091
2611.493737669791	2952.1631861575315	4450.18450895707	3496.0790539193813	5367.395914043633	6118.253972326408	10927.563070754899	15921.792364739753	21092.034046212695	26431.459393994563	29622.608795762062	28207.655716928093	31883.301273469002
2642.514761525237	2977.201068044106	4460.223718839512	3522.762993960487	5426.11004696486	6132.685418430093	10957.716243265408	15835.079840744998	20901.77154014124	26187.32518276814	29430.98057083219	28216.643748254635	31584.43231777648
2609.9899721022143	2940.7653370853177	4469.24093928433	3505.5268369029013	5391.697904397233	6128.016216644848	10947.047526994349	15918.774228867653	21080.802042235486	26302.66649969693	29459.123499691486	28001.349923119888	31673.616548863854
2594.558855718453	2977.457480037249	4467.384884400827	3539.793915164849	5396.588327795734	6131.815225370783	10950.362161163817	15881.75824126722	21004.024096426256	26211.51128581151	29332.35614620454	28298.29591892262	31400.083798414085
2647.0823640195704	2979.0954540426	4446.123481227172	3537.8046239426367	5358.957965010886	6091.431948191827	10881.623541077886	15778.50246775874	21100.742334804378	26087.21385630526	29156.709042673687	27987.18476316042	31338.716832602895
2614.6122385900926	2980.0219381895377	4432.478272577569	3505.5255634026585	5411.373688629972	6165.649942505412	11024.17306774454	15831.917617179894	20919.72532977544	26185.502694108603	29227.80066728592	28119.112705362255	31455.02878028586
2631.9497248534253	2961.3931988486975	4474.552165435236	3524.6720838648234	5431.720618914841	6139.990856842592	10970.748251269835	15832.21061401684	20914.56876595266	26221.87959736791	29400.162478616894	28259.393264507424	31541.05806165168
2606.1142044088583	2950.886968040413	4437.342445037736	3497.167676963086	5350.228581332616	6081.7515504982175	10862.891264970009	15926.861193568784	20992.362210494837	26102.98021792131	29309.565846512956	28267.76915583117	31444.509513676167
2630.9383126340185	2962.433173597074	4412.185190746377	3564.3096590580462	5407.90047783118	6149.658573676686	10984.694482548812	15798.060429560674	20967.71667016804	26221.34856256151	29293.125559041462	28275.377997036638	31506.250893197408
2610.303587832693	2959.609031677246	4472.092984045048	3544.7454315809277	5369.560531829508	6105.274385554745	10904.942623989225	15778.525719885267	20835.314937188203	26233.485151281046	29343.03879737854	28292.420814777244	31552.181968206092
2629.592158613753	2949.268830472011	4474.304573927673	3534.479092735964	5407.937066913529	6158.607411558008	11006.72522562979	15921.228392951949	20985.44812928937	26126.247967860494	29264.34493646389	28210.557061095245	31463.65951089298
2637.2596628411416	2988.8051536919597	4458.3032237564785	3503.2586816548637	5385.831714822696	6107.947941495545	10910.953451600539	15913.646418293256	20979.928080592388	26161.087700989454	29334.710587767364	28109.033868318988	31560.777686536312
2609.166464864777	2960.7147290285534	4455.342113523555	3543.64886569968	5332.148016044962	6061.465572210204	10819.80759180382	15818.595391329422	21192.94977978448	26275.930166038797	29365.1236557379	28152.30179162714	31532.233580946922
2582.2735715795448	2966.3322480504903	4472.813509533407	3559.784714214857	5427.302076266362	6169.914992677896	11027.751307760202	15916.695331807687	20990.220117997364	26050.788590252963	29090.581168643657	28118.78463469593	31183.86370861507
2585.0883847527457	2966.1569410071784	4469.915884597247	3557.287115205089	5355.706859704845	6087.469765383821	10876.78159161531	15856.98697178287	21034.01962861058	26331.262481715738	29601.2744699272	28293.117161454826	31804.676745760593
