16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.2158	0.21604	0.13318	0.21612	0.13312	0.11542	0.05778	0.03848	0.0289	0.0232	0.0205	0.02324	0.02054
0.21598	0.21602	0.13308	0.21622	0.13304	0.11534	0.05782	0.03854	0.02894	0.02326	0.02054	0.02326	0.02062
0.2161	0.21616	0.13308	0.21614	0.13322	0.11536	0.05768	0.03854	0.02892	0.02326	0.02048	0.02322	0.02064
0.21604	0.21616	0.13302	0.21602	0.1329	0.11542	0.0577	0.03848	0.02892	0.0233	0.02054	0.02326	0.02056
0.21618	0.21618	0.13316	0.21618	0.13314	0.11534	0.05768	0.03848	0.02892	0.02324	0.02056	0.02324	0.02058
0.2161	0.2162	0.13322	0.21624	0.13302	0.11556	0.05774	0.03854	0.02896	0.02316	0.02054	0.02322	0.0205
0.21598	0.21626	0.13298	0.21622	0.13308	0.11542	0.05768	0.03852	0.02894	0.02322	0.02046	0.02322	0.02048
0.21608	0.21622	0.13304	0.21604	0.1332	0.11526	0.05778	0.03852	0.029	0.02326	0.02052	0.02322	0.02048
0.2159	0.21616	0.13314	0.21624	0.13312	0.11522	0.05772	0.03854	0.02894	0.02322	0.02052	0.0233	0.02054
0.21594	0.21602	0.13308	0.21628	0.13308	0.11542	0.05768	0.0385	0.02894	0.02322	0.02064	0.02328	0.02052
0.21604	0.21622	0.13322	0.21608	0.13302	0.11526	0.05774	0.03856	0.02902	0.02326	0.02056	0.0233	0.0205
0.21612	0.21596	0.13302	0.21604	0.13318	0.11538	0.05772	0.03852	0.029	0.02328	0.02054	0.02328	0.02058
0.21588	0.21638	0.133	0.21618	0.13326	0.11534	0.05766	0.03856	0.02894	0.0232	0.0206	0.02328	0.02054
0.21618	0.21606	0.13308	0.21638	0.13316	0.11526	0.05774	0.03852	0.029	0.02318	0.02052	0.02322	0.0206
0.21626	0.21616	0.13322	0.21616	0.133	0.11528	0.0577	0.03854	0.02892	0.0233	0.02058	0.02326	0.02052
0.21606	0.2161	0.13294	0.21614	0.13306	0.11554	0.05774	0.03852	0.02892	0.02322	0.02048	0.02332	0.02044
0.216	0.21618	0.13318	0.21628	0.13312	0.11546	0.0577	0.03848	0.02892	0.02322	0.02052	0.02326	0.02054
0.2161	0.21628	0.13314	0.2163	0.13318	0.11514	0.05776	0.03854	0.02894	0.02318	0.02058	0.02324	0.02054
0.21592	0.2162	0.13312	0.2162	0.13308	0.11532	0.0578	0.03852	0.02894	0.02326	0.0205	0.02322	0.02052
0.21604	0.21624	0.13318	0.21614	0.1331	0.11546	0.05768	0.0386	0.02908	0.0233	0.02048	0.02336	0.0205
